ym,local,bill,rsn,cnt,amt
﻿201809,57,2,2,1,8000
﻿201809,57,7,1,1,120000
﻿201809,57,7,2,6,696000
﻿201809,58,1,4,1,15000
﻿201809,58,7,2,51,2350000
﻿201809,5L,4,4,1,5000
﻿201809,5R,6,1,1,7000
﻿201809,5R,7,1,3,162000
﻿201809,5X,7,2,1,52000
﻿201809,62,6,1,1,3000
﻿201809,62,6,2,1,8000
﻿201809,62,7,2,22,768000
﻿201809,63,4,4,4,4000
﻿201809,63,6,1,1,2000
﻿201809,65,1,1,1,14000
﻿201809,65,2,1,1,200000
﻿201809,65,3,1,1,3000
﻿201809,65,7,2,32,1040000
﻿201809,65,7,4,1,50000
﻿201809,65,7,6,8,264000
﻿201809,66,1,6,1,2000
﻿201809,67,7,2,11,740000
﻿201809,6D,7,2,3,61000
﻿201809,6N,1,6,1,3000
﻿201809,74,1,2,4,55800000
﻿201809,74,1,6,2,33000
﻿201809,74,2,1,2,44000
﻿201809,74,2,2,2,100000
﻿201809,74,4,4,2,1000
﻿201809,74,6,1,2,511000
﻿201809,74,6,6,1,5000
﻿201809,74,7,1,2,33000
﻿201809,74,7,2,3,42000
﻿201809,75,1,6,1,20000
﻿201809,76,7,2,13,657000
﻿201809,7A,7,6,107,2210000
﻿201809,7G,4,4,1,1000
﻿201809,83,1,1,1,25000
﻿201809,83,6,1,1,10000
﻿201809,83,7,4,3,84000
﻿201810,1,1,1,3,85000
﻿201810,1,1,2,14,1070000
﻿201810,1,1,3,1,75000
﻿201810,1,1,4,2,107000
﻿201810,1,1,5,3,91000
﻿201810,1,1,6,7,86000
﻿201810,1,2,1,9,425000
﻿201810,1,2,2,42,1530000
﻿201810,1,2,4,5,108000
﻿201810,1,2,5,20,664000
﻿201810,1,2,6,3,121000
﻿201810,1,3,1,16,75000
﻿201810,1,3,2,57,197000
﻿201810,1,3,4,7,33000
﻿201810,1,3,6,5,18000
﻿201810,1,4,4,212,192000
﻿201810,1,4,6,25,5000
﻿201810,1,6,1,48,22000000
﻿201810,1,6,2,1,912000
﻿201810,1,6,4,7,1000
﻿201810,1,6,6,45,25000000
﻿201810,1,7,1,109,3170000
﻿201810,1,7,2,255,10800000
﻿201810,1,7,4,14,787000
﻿201810,1,7,6,68,2000000
﻿201810,6,1,1,12,214000
﻿201810,6,1,2,31,472000
﻿201810,6,1,3,5,27000
﻿201810,6,1,4,1,100000
﻿201810,6,1,6,1,16000
﻿201810,6,2,2,11,579000
﻿201810,6,3,2,2,6000
﻿201810,6,3,4,2,10000
﻿201810,6,3,6,2,4000
﻿201810,6,6,2,3,56000
﻿201810,6,6,6,1,23000
﻿201810,6,7,1,230,4880000
﻿201810,6,7,2,228,7090000
﻿201810,6,7,6,2,43000
﻿201810,11,1,1,2,66000
﻿201810,11,1,4,1,15000
﻿201810,11,2,1,6,95000
﻿201810,11,3,1,3,15000
﻿201810,11,3,4,2,8000
﻿201810,11,4,4,38,8000
﻿201810,11,4,6,2,1000
﻿201810,11,6,1,1,7000
﻿201810,11,7,1,115,11800000
﻿201810,11,7,2,47,1630000
﻿201810,12,2,2,1,23000
﻿201810,12,7,2,76,4600000
﻿201810,13,1,1,1,20000
﻿201810,13,1,2,1,3000
﻿201810,13,1,6,1,3000
﻿201810,13,6,6,1,9000
﻿201810,13,7,1,8,32000
﻿201810,13,7,2,9,42000
﻿201810,14,1,2,1,55000
﻿201810,14,2,2,3,65000
﻿201810,14,3,1,1,3000
﻿201810,14,4,4,9,3000
﻿201810,14,6,6,2,3230000
﻿201810,14,7,2,35,1250000
﻿201810,14,7,4,1,15000
﻿201810,15,3,1,7,21000
